humanID,opponent,turn,condition,cooperation
kfzgaywr,ppo,4,human,2
kfzgaywr,ppo,5,human,2
kfzgaywr,ppo,6,human,1
kfzgaywr,ppo,7,human,2
kfzgaywr,ppo,8,human,1
kfzgaywr,ppo,9,human,2
kfzgaywr,ppo,0,human,1
kfzgaywr,ppo,1,human,1
kfzgaywr,ppo,2,human,1
kfzgaywr,ppo,3,human,2
kfzgaywr,ppo,4,human,2
kfzgaywr,ppo,5,human,1
kfzgaywr,ppo,6,human,1
kfzgaywr,ppo,7,human,2
kfzgaywr,ppo,8,human,1
kfzgaywr,ppo,9,human,2
kfzgaywr,ppo,0,human,1
kfzgaywr,ppo,1,human,1
kfzgaywr,ppo,2,human,2
kfzgaywr,ppo,3,human,1
kfzgaywr,ppo,4,human,2
kfzgaywr,ppo,5,human,2
kfzgaywr,ppo,6,human,2
kfzgaywr,ppo,7,human,1
kfzgaywr,ppo,8,human,2
kfzgaywr,ppo,9,human,1
zreqdjl,ppo,0,human,2
zreqdjl,ppo,1,human,1
zreqdjl,ppo,2,human,1
zreqdjl,ppo,3,human,2
zreqdjl,ppo,4,human,1
zreqdjl,ppo,5,human,2
zreqdjl,ppo,6,human,2
zreqdjl,ppo,7,human,1
zreqdjl,ppo,8,human,1
zreqdjl,ppo,9,human,1
zreqdjl,ppo,0,human,2
zreqdjl,ppo,1,human,2
zreqdjl,ppo,2,human,1
zreqdjl,ppo,3,human,1
zreqdjl,ppo,4,human,2
zreqdjl,ppo,5,human,2
zreqdjl,ppo,6,human,2
zreqdjl,ppo,7,human,2
zreqdjl,ppo,8,human,2
zreqdjl,ppo,9,human,2
zreqdjl,ppo,0,human,1
zreqdjl,ppo,1,human,2
zreqdjl,ppo,2,human,1
zreqdjl,ppo,3,human,2
zreqdjl,ppo,4,human,2
zreqdjl,ppo,5,human,2
zreqdjl,ppo,6,human,2
zreqdjl,ppo,7,human,2
zreqdjl,ppo,8,human,1
zreqdjl,ppo,9,human,2
ffquulj,ppo,0,human,1
ffquulj,ppo,1,human,1
ffquulj,ppo,2,human,2
ffquulj,ppo,3,human,2
ffquulj,ppo,4,human,1
ffquulj,ppo,5,human,1
ffquulj,ppo,6,human,2
ffquulj,ppo,7,human,2
ffquulj,ppo,8,human,2
ffquulj,ppo,9,human,2
ffquulj,ppo,0,human,1
ffquulj,ppo,1,human,2
ffquulj,ppo,2,human,2
ffquulj,ppo,3,human,2
ffquulj,ppo,4,human,1
ffquulj,ppo,5,human,1
ffquulj,ppo,6,human,1
ffquulj,ppo,7,human,2
ffquulj,ppo,8,human,1
ffquulj,ppo,9,human,1
ffquulj,ppo,0,human,1
ffquulj,ppo,1,human,2
ffquulj,ppo,2,human,2
ffquulj,ppo,3,human,2
ffquulj,ppo,4,human,2
ffquulj,ppo,5,human,2
ffquulj,ppo,6,human,2
ffquulj,ppo,7,human,2
ffquulj,ppo,8,human,1
ffquulj,ppo,9,human,1
mjddpux,ppo,0,human,2
mjddpux,ppo,1,human,1
mjddpux,ppo,2,human,2
mjddpux,ppo,3,human,1
mjddpux,ppo,4,human,1
mjddpux,ppo,5,human,2
mjddpux,ppo,6,human,1
mjddpux,ppo,7,human,2
mjddpux,ppo,8,human,1
mjddpux,ppo,9,human,1
mjddpux,ppo,0,human,2
mjddpux,ppo,1,human,1
mjddpux,ppo,2,human,2
mjddpux,ppo,3,human,2
mjddpux,ppo,4,human,2
mjddpux,ppo,5,human,2
mjddpux,ppo,6,human,2
mjddpux,ppo,7,human,1
mjddpux,ppo,8,human,2
mjddpux,ppo,9,human,1
mjddpux,ppo,0,human,1
mjddpux,ppo,1,human,1
mjddpux,ppo,2,human,1
mjddpux,ppo,3,human,2
mjddpux,ppo,4,human,2
mjddpux,ppo,5,human,2
mjddpux,ppo,6,human,2
mjddpux,ppo,7,human,1
mjddpux,ppo,8,human,1
mjddpux,ppo,9,human,2
ayxgejoh,ppo,0,human,2
ayxgejoh,ppo,1,human,1
ayxgejoh,ppo,2,human,1
ayxgejoh,ppo,3,human,1
ayxgejoh,ppo,4,human,1
ayxgejoh,ppo,5,human,2
ayxgejoh,ppo,6,human,1
ayxgejoh,ppo,7,human,1
ayxgejoh,ppo,8,human,2
ayxgejoh,ppo,9,human,1
ayxgejoh,ppo,0,human,2
ayxgejoh,ppo,1,human,2
ayxgejoh,ppo,2,human,2
ayxgejoh,ppo,3,human,1
ayxgejoh,ppo,4,human,2
ayxgejoh,ppo,5,human,2
ayxgejoh,ppo,6,human,1
ayxgejoh,ppo,7,human,1
ayxgejoh,ppo,8,human,2
ayxgejoh,ppo,9,human,2
ayxgejoh,ppo,0,human,2
ayxgejoh,ppo,1,human,2
ayxgejoh,ppo,2,human,2
ayxgejoh,ppo,3,human,1
ayxgejoh,ppo,4,human,1
ayxgejoh,ppo,5,human,1
ayxgejoh,ppo,6,human,2
ayxgejoh,ppo,7,human,1
ayxgejoh,ppo,8,human,2
ayxgejoh,ppo,9,human,2
ztybzkud,ppo,0,human,1
ztybzkud,ppo,1,human,2
ztybzkud,ppo,2,human,1
ztybzkud,ppo,3,human,1
ztybzkud,ppo,4,human,2
ztybzkud,ppo,5,human,1
ztybzkud,ppo,6,human,2
ztybzkud,ppo,7,human,1
ztybzkud,ppo,8,human,1
ztybzkud,ppo,9,human,2
ztybzkud,ppo,0,human,2
ztybzkud,ppo,1,human,1
ztybzkud,ppo,2,human,1
ztybzkud,ppo,3,human,2
ztybzkud,ppo,4,human,1
ztybzkud,ppo,5,human,1
ztybzkud,ppo,6,human,1
ztybzkud,ppo,7,human,1
ztybzkud,ppo,8,human,2
ztybzkud,ppo,9,human,2
ztybzkud,ppo,0,human,2
ztybzkud,ppo,1,human,2
ztybzkud,ppo,2,human,1
ztybzkud,ppo,3,human,2
ztybzkud,ppo,4,human,2
ztybzkud,ppo,5,human,1
ztybzkud,ppo,6,human,2
ztybzkud,ppo,7,human,1
ztybzkud,ppo,8,human,2
ztybzkud,ppo,9,human,1
ccqagdq,ppo,0,human,2
ccqagdq,ppo,1,human,1
ccqagdq,ppo,2,human,2
ccqagdq,ppo,3,human,2
ccqagdq,ppo,4,human,2
ccqagdq,ppo,5,human,2
ccqagdq,ppo,6,human,2
ccqagdq,ppo,7,human,2
ccqagdq,ppo,8,human,2
ccqagdq,ppo,9,human,1
ccqagdq,ppo,0,human,2
ccqagdq,ppo,1,human,2
ccqagdq,ppo,2,human,2
ccqagdq,ppo,3,human,2
ccqagdq,ppo,4,human,2
ccqagdq,ppo,5,human,2
ccqagdq,ppo,6,human,2
ccqagdq,ppo,7,human,2
ccqagdq,ppo,8,human,2
ccqagdq,ppo,9,human,2
ccqagdq,ppo,0,human,1
ccqagdq,ppo,1,human,2
ccqagdq,ppo,2,human,1
ccqagdq,ppo,3,human,2
ccqagdq,ppo,4,human,1
ccqagdq,ppo,5,human,2
ccqagdq,ppo,6,human,2
ccqagdq,ppo,7,human,2
ccqagdq,ppo,8,human,2
ccqagdq,ppo,9,human,2
cbnfhqlg,ppo,0,human,2
cbnfhqlg,ppo,1,human,2
cbnfhqlg,ppo,2,human,1
cbnfhqlg,ppo,3,human,2
cbnfhqlg,ppo,4,human,2
cbnfhqlg,ppo,5,human,2
cbnfhqlg,ppo,6,human,2
cbnfhqlg,ppo,7,human,1
cbnfhqlg,ppo,8,human,1
cbnfhqlg,ppo,9,human,2
cbnfhqlg,ppo,0,human,1
cbnfhqlg,ppo,1,human,2
cbnfhqlg,ppo,2,human,1
cbnfhqlg,ppo,3,human,2
cbnfhqlg,ppo,4,human,1
cbnfhqlg,ppo,5,human,2
cbnfhqlg,ppo,6,human,2
cbnfhqlg,ppo,7,human,1
cbnfhqlg,ppo,8,human,2
cbnfhqlg,ppo,9,human,1
cbnfhqlg,ppo,0,human,2
cbnfhqlg,ppo,1,human,2
cbnfhqlg,ppo,2,human,2
cbnfhqlg,ppo,3,human,2
cbnfhqlg,ppo,4,human,1
cbnfhqlg,ppo,5,human,1
cbnfhqlg,ppo,6,human,1
cbnfhqlg,ppo,7,human,1
cbnfhqlg,ppo,8,human,1
cbnfhqlg,ppo,9,human,2
cbnfhqlg,ppo,0,human,2
cbnfhqlg,ppo,1,human,2
cbnfhqlg,ppo,2,human,1
cbnfhqlg,ppo,3,human,2
cbnfhqlg,ppo,4,human,2
cbnfhqlg,ppo,5,human,2
cbnfhqlg,ppo,6,human,2
cbnfhqlg,ppo,7,human,1
cbnfhqlg,ppo,8,human,1
cbnfhqlg,ppo,9,human,2
cbnfhqlg,ppo,0,human,1
cbnfhqlg,ppo,1,human,2
cbnfhqlg,ppo,2,human,1
cbnfhqlg,ppo,3,human,2
cbnfhqlg,ppo,4,human,1
cbnfhqlg,ppo,5,human,2
cbnfhqlg,ppo,6,human,2
cbnfhqlg,ppo,7,human,1
cbnfhqlg,ppo,8,human,2
cbnfhqlg,ppo,9,human,1
cbnfhqlg,ppo,0,human,2
cbnfhqlg,ppo,1,human,2
cbnfhqlg,ppo,2,human,2
cbnfhqlg,ppo,3,human,2
cbnfhqlg,ppo,4,human,1
cbnfhqlg,ppo,5,human,1
cbnfhqlg,ppo,6,human,2
cbnfhqlg,ppo,7,human,2
cbnfhqlg,ppo,8,human,2
cbnfhqlg,ppo,9,human,2
cbnfhqlg,ppo,0,human,2
cbnfhqlg,ppo,1,human,2
cbnfhqlg,ppo,2,human,1
cbnfhqlg,ppo,3,human,2
cbnfhqlg,ppo,4,human,2
cbnfhqlg,ppo,5,human,2
cbnfhqlg,ppo,6,human,2
cbnfhqlg,ppo,7,human,1
cbnfhqlg,ppo,8,human,1
cbnfhqlg,ppo,9,human,2
cbnfhqlg,ppo,0,human,1
cbnfhqlg,ppo,1,human,2
cbnfhqlg,ppo,2,human,1
cbnfhqlg,ppo,3,human,2
cbnfhqlg,ppo,4,human,1
cbnfhqlg,ppo,5,human,2
cbnfhqlg,ppo,6,human,2
cbnfhqlg,ppo,7,human,1
cbnfhqlg,ppo,8,human,2
cbnfhqlg,ppo,9,human,1
cbnfhqlg,ppo,0,human,2
cbnfhqlg,ppo,1,human,2
cbnfhqlg,ppo,2,human,2
cbnfhqlg,ppo,3,human,2
cbnfhqlg,ppo,4,human,1
cbnfhqlg,ppo,5,human,1
cbnfhqlg,ppo,6,human,2
cbnfhqlg,ppo,7,human,2
cbnfhqlg,ppo,8,human,2
cbnfhqlg,ppo,9,human,1
etztiqd,ppo,0,human,1
etztiqd,ppo,1,human,1
etztiqd,ppo,2,human,1
etztiqd,ppo,3,human,1
etztiqd,ppo,4,human,1
etztiqd,ppo,5,human,2
etztiqd,ppo,6,human,2
etztiqd,ppo,7,human,2
etztiqd,ppo,8,human,2
etztiqd,ppo,9,human,2
etztiqd,ppo,0,human,1
etztiqd,ppo,1,human,2
etztiqd,ppo,2,human,1
etztiqd,ppo,3,human,1
etztiqd,ppo,4,human,2
etztiqd,ppo,5,human,2
etztiqd,ppo,6,human,2
etztiqd,ppo,7,human,2
etztiqd,ppo,8,human,2
etztiqd,ppo,9,human,1
etztiqd,ppo,0,human,2
etztiqd,ppo,1,human,1
etztiqd,ppo,2,human,2
etztiqd,ppo,3,human,2
etztiqd,ppo,4,human,2
etztiqd,ppo,5,human,2
etztiqd,ppo,6,human,1
etztiqd,ppo,7,human,1
etztiqd,ppo,8,human,1
etztiqd,ppo,9,human,2
jajuoaqz,ppo,0,human,1
jajuoaqz,ppo,1,human,1
jajuoaqz,ppo,2,human,1
jajuoaqz,ppo,3,human,1
jajuoaqz,ppo,4,human,1
jajuoaqz,ppo,5,human,2
jajuoaqz,ppo,6,human,1
jajuoaqz,ppo,7,human,1
jajuoaqz,ppo,8,human,1
jajuoaqz,ppo,9,human,1
jajuoaqz,ppo,0,human,1
jajuoaqz,ppo,1,human,2
jajuoaqz,ppo,2,human,1
jajuoaqz,ppo,3,human,1
jajuoaqz,ppo,4,human,2
jajuoaqz,ppo,5,human,2
jajuoaqz,ppo,6,human,2
jajuoaqz,ppo,7,human,2
jajuoaqz,ppo,8,human,2
jajuoaqz,ppo,9,human,1
jajuoaqz,ppo,0,human,2
jajuoaqz,ppo,1,human,1
jajuoaqz,ppo,2,human,1
jajuoaqz,ppo,3,human,1
jajuoaqz,ppo,4,human,1
jajuoaqz,ppo,5,human,1
jajuoaqz,ppo,6,human,2
jajuoaqz,ppo,7,human,1
jajuoaqz,ppo,8,human,2
jajuoaqz,ppo,9,human,1
cvfqlwy,ppo,0,human,1
cvfqlwy,ppo,1,human,2
cvfqlwy,ppo,2,human,2
cvfqlwy,ppo,3,human,2
cvfqlwy,ppo,4,human,1
cvfqlwy,ppo,5,human,2
cvfqlwy,ppo,6,human,1
cvfqlwy,ppo,7,human,1
cvfqlwy,ppo,8,human,2
cvfqlwy,ppo,9,human,2
cvfqlwy,ppo,0,human,1
cvfqlwy,ppo,1,human,2
cvfqlwy,ppo,2,human,2
cvfqlwy,ppo,3,human,2
cvfqlwy,ppo,4,human,2
cvfqlwy,ppo,5,human,2
cvfqlwy,ppo,6,human,2
cvfqlwy,ppo,7,human,2
cvfqlwy,ppo,8,human,1
cvfqlwy,ppo,9,human,1
cvfqlwy,ppo,0,human,2
cvfqlwy,ppo,1,human,1
cvfqlwy,ppo,2,human,1
cvfqlwy,ppo,3,human,2
cvfqlwy,ppo,4,human,1
cvfqlwy,ppo,5,human,1
cvfqlwy,ppo,6,human,2
cvfqlwy,ppo,7,human,1
cvfqlwy,ppo,8,human,2
cvfqlwy,ppo,9,human,2
kvnvnwbf,ppo,0,human,1
kvnvnwbf,ppo,1,human,2
kvnvnwbf,ppo,2,human,1
kvnvnwbf,ppo,3,human,2
kvnvnwbf,ppo,4,human,1
kvnvnwbf,ppo,5,human,1
kvnvnwbf,ppo,6,human,1
kvnvnwbf,ppo,7,human,2
kvnvnwbf,ppo,8,human,2
kvnvnwbf,ppo,9,human,2
kvnvnwbf,ppo,0,human,1
kvnvnwbf,ppo,1,human,1
kvnvnwbf,ppo,2,human,1
kvnvnwbf,ppo,3,human,1
kvnvnwbf,ppo,4,human,1
kvnvnwbf,ppo,5,human,1
kvnvnwbf,ppo,6,human,2
kvnvnwbf,ppo,7,human,2
kvnvnwbf,ppo,8,human,1
kvnvnwbf,ppo,9,human,1
kvnvnwbf,ppo,0,human,2
kvnvnwbf,ppo,1,human,2
kvnvnwbf,ppo,2,human,2
kvnvnwbf,ppo,3,human,1
kvnvnwbf,ppo,4,human,2
kvnvnwbf,ppo,5,human,1
kvnvnwbf,ppo,6,human,2
kvnvnwbf,ppo,7,human,2
kvnvnwbf,ppo,8,human,1
kvnvnwbf,ppo,9,human,2
hqlisgcl,ppo,0,human,2
hqlisgcl,ppo,1,human,1
hqlisgcl,ppo,2,human,2
hqlisgcl,ppo,3,human,2
hqlisgcl,ppo,4,human,1
hqlisgcl,ppo,5,human,2
hqlisgcl,ppo,6,human,2
hqlisgcl,ppo,7,human,2
hqlisgcl,ppo,8,human,1
hqlisgcl,ppo,9,human,1
hqlisgcl,ppo,0,human,2
hqlisgcl,ppo,1,human,1
hqlisgcl,ppo,2,human,1
hqlisgcl,ppo,3,human,1
hqlisgcl,ppo,4,human,1
hqlisgcl,ppo,5,human,2
